,zip_code,date,total_doses_daily,total_doses_cumulative,_1st_dose_daily,_1st_dose_cumulative,_1st_dose_percent_population,vaccine_series_completed_daily,vaccine_series_completed_cumulative,vaccine_series_completed_percent_population,population,zip_code_location,row_id,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6
27,60629,2021-03-13T00:00:00.000,779,25536,627,18790,0.171,156,6855,0.062,110029,"{'type': 'Point', 'coordinates': [-87.711565, 41.777061]}",60629-20210313,64,21867,293,6,58
28,60630,2021-03-13T00:00:00.000,281,15987,186,10396,0.184,145,5858,0.104,56433,"{'type': 'Point', 'coordinates': [-87.759611, 41.971261]}",60630-20210313,11,21869,129,50,48
29,60631,2021-03-13T00:00:00.000,141,12252,89,7769,0.263,86,4731,0.16,29529,"{'type': 'Point', 'coordinates': [-87.813371, 41.995019]}",60631-20210313,36,22243,733,29,17
30,60632,2021-03-13T00:00:00.000,546,21995,397,15917,0.177,157,6179,0.069,89857,"{'type': 'Point', 'coordinates': [-87.711251, 41.810038]}",60632-20210313,55,22248,640,8,56
31,60633,2021-03-13T00:00:00.000,41,2054,30,1354,0.107,15,712,0.056,12689,"{'type': 'Point', 'coordinates': [-87.556037, 41.653147]}",60633-20210313,52,22250,586,47,26
32,60634,2021-03-13T00:00:00.000,447,20803,342,13812,0.184,150,7351,0.098,75082,"{'type': 'Point', 'coordinates': [-87.797373, 41.944967]}",60634-20210313,17,22254,396,19,52
33,60636,2021-03-13T00:00:00.000,105,4780,57,3454,0.115,49,1347,0.045,30024,"{'type': 'Point', 'coordinates': [-87.668597, 41.77599]}",60636-20210313,65,22257,280,3,23
34,60637,2021-03-13T00:00:00.000,94,9928,52,6125,0.129,46,3838,0.081,47300,"{'type': 'Point', 'coordinates': [-87.604053, 41.780991]}",60637-20210313,9,22260,470,4,60
35,60638,2021-03-13T00:00:00.000,189,15468,126,10064,0.172,81,5493,0.094,58669,"{'type': 'Point', 'coordinates': [-87.771902, 41.787032]}",60638-20210313,53,22268,590,15,7
36,60639,2021-03-13T00:00:00.000,481,20717,345,15836,0.18,157,5043,0.057,88204,"{'type': 'Point', 'coordinates': [-87.75531, 41.920609]}",60639-20210313,19,22615,306,44,2
37,60640,2021-03-13T00:00:00.000,241,24774,145,15811,0.228,122,9147,0.132,69363,"{'type': 'Point', 'coordinates': [-87.662232, 41.971888]}",60640-20210313,31,22616,633,18,15
38,60641,2021-03-13T00:00:00.000,356,17838,241,11990,0.172,155,6083,0.087,69880,"{'type': 'Point', 'coordinates': [-87.746791, 41.946682]}",60641-20210313,15,22618,139,21,21
39,60642,2021-03-13T00:00:00.000,72,6586,45,4029,0.204,34,2618,0.133,19716,"{'type': 'Point', 'coordinates': [-87.657821, 41.899935]}",60642-20210313,25,22620,109,46,49
40,60643,2021-03-13T00:00:00.000,232,15159,108,9345,0.191,131,5890,0.12,48887,"{'type': 'Point', 'coordinates': [-87.662381, 41.700445]}",60643-20210313,71,22212,630,42,13
41,60644,2021-03-13T00:00:00.000,121,7624,81,5224,0.112,49,2530,0.054,46591,"{'type': 'Point', 'coordinates': [-87.756863, 41.881113]}",60644-20210313,26,22216,674,23,32
42,60645,2021-03-13T00:00:00.000,181,14500,92,9339,0.198,118,5284,0.112,47270,"{'type': 'Point', 'coordinates': [-87.695049, 42.008927]}",60645-20210313,20,22528,42,27,12
43,60646,2021-03-13T00:00:00.000,135,11359,87,7144,0.25,74,4396,0.154,28569,"{'type': 'Point', 'coordinates': [-87.761826, 41.993931]}",60646-20210313,12,22532,782,38,18
44,60647,2021-03-13T00:00:00.000,339,24192,221,15687,0.179,156,8736,0.1,87633,"{'type': 'Point', 'coordinates': [-87.701101, 41.921058]}",60647-20210313,23,22535,322,41,1
45,60649,2021-03-13T00:00:00.000,183,9314,127,6110,0.131,63,3244,0.07,46633,"{'type': 'Point', 'coordinates': [-87.571522, 41.762202]}",60649-20210313,39,22538,418,33,24
46,60651,2021-03-13T00:00:00.000,274,10532,179,7213,0.114,113,3467,0.055,63492,"{'type': 'Point', 'coordinates': [-87.741017, 41.901964]}",60651-20210313,24,4299,99,45,5
47,60652,2021-03-13T00:00:00.000,344,10172,270,6980,0.161,78,3254,0.075,43447,"{'type': 'Point', 'coordinates': [-87.714238, 41.745398]}",60652-20210313,69,4300,199,30,8
48,60653,2021-03-13T00:00:00.000,172,7726,109,5065,0.153,69,2704,0.082,33154,"{'type': 'Point', 'coordinates': [-87.611244, 41.819261]}",60653-20210313,4,4301,583,10,36
49,60654,2021-03-13T00:00:00.000,42,6794,25,4234,0.211,18,2603,0.13,20022,"{'type': 'Point', 'coordinates': [-87.636354, 41.892485]}",60654-20210313,37,4446,652,36,55
50,60655,2021-03-13T00:00:00.000,85,11051,55,6456,0.226,37,4653,0.163,28569,"{'type': 'Point', 'coordinates': [-87.701434, 41.696456]}",60655-20210313,73,4447,369,42,33
51,60656,2021-03-13T00:00:00.000,147,7350,90,4812,0.171,93,2759,0.098,28218,"{'type': 'Point', 'coordinates': [-87.817934, 41.974566]}",60656-20210313,36,4448,735,29,31
52,60657,2021-03-13T00:00:00.000,225,25417,137,15632,0.22,106,9941,0.14,70958,"{'type': 'Point', 'coordinates': [-87.658216, 41.939715]}",60657-20210313,57,4449,680,25,22
53,60659,2021-03-13T00:00:00.000,130,10424,78,6641,0.155,69,3868,0.091,42735,"{'type': 'Point', 'coordinates': [-87.703266, 41.990803]}",60659-20210313,20,4450,30,27,50
54,60660,2021-03-13T00:00:00.000,186,14349,113,9170,0.206,94,5284,0.119,44498,"{'type': 'Point', 'coordinates': [-87.666362, 41.991062]}",60660-20210313,76,4451,536,16,14
55,60661,2021-03-13T00:00:00.000,22,3451,14,2087,0.202,11,1382,0.133,10354,"{'type': 'Point', 'coordinates': [-87.644283, 41.882786]}",60661-20210313,29,4452,784,36,45
56,60666,2021-03-13T00:00:00.000,0,46,0,32,0,0,19,0,0,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",60666-20210313,75,16197,668,29,38
57,60707,2021-03-13T00:00:00.000,110,3875,80,2628,0.061,42,1313,0.03,43093,"{'type': 'Point', 'coordinates': [-87.808283, 41.921777]}",60707-20210313,,4454,,,
