,zip_code,date,total_doses_daily,total_doses_cumulative,_1st_dose_daily,_1st_dose_cumulative,_1st_dose_percent_population,vaccine_series_completed_daily,vaccine_series_completed_cumulative,vaccine_series_completed_percent_population,population,zip_code_location,row_id,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,:@computed_region_rpca_8um6
131,60612,2021-03-11T00:00:00.000,208,9180,126,5709,0.169,89,3501,0.104,33735,"{'type': 'Point', 'coordinates': [-87.687011, 41.88004]}",60612-20210311,29,21184,785,46,28
132,60613,2021-03-11T00:00:00.000,498,16967,319,10638,0.21,201,6422,0.127,50761,"{'type': 'Point', 'coordinates': [-87.661343, 41.953742]}",60613-20210311,57,21186,725,25,53
133,60614,2021-03-11T00:00:00.000,631,23367,427,14298,0.199,229,9147,0.127,71954,"{'type': 'Point', 'coordinates': [-87.652064, 41.922605]}",60614-20210311,68,21190,744,34,16
134,60615,2021-03-11T00:00:00.000,276,13370,193,7994,0.197,101,5430,0.134,40590,"{'type': 'Point', 'coordinates': [-87.602725, 41.801993]}",60615-20210311,8,21192,147,33,10
135,60616,2021-03-11T00:00:00.000,401,15908,255,10162,0.188,158,5807,0.107,54197,"{'type': 'Point', 'coordinates': [-87.629531, 41.844869]}",60616-20210311,1,21194,377,9,40
136,60617,2021-03-11T00:00:00.000,590,15990,398,10634,0.127,209,5424,0.065,83553,"{'type': 'Point', 'coordinates': [-87.556897, 41.721257]}",60617-20210311,48,21202,527,47,25
137,60618,2021-03-11T00:00:00.000,847,25221,535,16314,0.172,359,9114,0.096,94907,"{'type': 'Point', 'coordinates': [-87.703343, 41.946699]}",60618-20210311,16,21538,372,20,39
138,60619,2021-03-11T00:00:00.000,469,12498,327,8212,0.134,152,4351,0.071,61207,"{'type': 'Point', 'coordinates': [-87.60569, 41.744737]}",60619-20210311,40,21546,140,35,61
139,60620,2021-03-11T00:00:00.000,479,11335,335,7739,0.114,155,3641,0.054,67711,"{'type': 'Point', 'coordinates': [-87.651656, 41.740873]}",60620-20210311,70,21554,530,13,59
140,60621,2021-03-11T00:00:00.000,135,3893,104,2836,0.101,37,1073,0.038,28018,"{'type': 'Point', 'coordinates': [-87.638812, 41.776931]}",60621-20210311,66,21559,435,4,11
141,60622,2021-03-11T00:00:00.000,505,17452,303,10954,0.206,221,6576,0.123,53294,"{'type': 'Point', 'coordinates': [-87.681818, 41.902762]}",60622-20210311,25,21560,476,11,4
142,60623,2021-03-11T00:00:00.000,798,20007,569,15270,0.188,236,4809,0.059,81283,"{'type': 'Point', 'coordinates': [-87.717446, 41.850321]}",60623-20210311,32,21569,754,28,57
143,60624,2021-03-11T00:00:00.000,229,5255,152,3713,0.106,81,1581,0.045,34892,"{'type': 'Point', 'coordinates': [-87.722735, 41.879417]}",60624-20210311,27,21572,736,23,30
144,60625,2021-03-11T00:00:00.000,647,20994,361,13547,0.171,324,7585,0.095,79444,"{'type': 'Point', 'coordinates': [-87.701816, 41.971155]}",60625-20210311,6,21849,620,24,20
145,60626,2021-03-11T00:00:00.000,367,13669,228,8784,0.174,153,4939,0.098,50544,"{'type': 'Point', 'coordinates': [-87.669834, 42.009469]}",60626-20210311,10,21853,358,5,9
146,60628,2021-03-11T00:00:00.000,399,10936,250,7280,0.113,163,3735,0.058,64254,"{'type': 'Point', 'coordinates': [-87.621537, 41.694192]}",60628-20210311,45,21861,237,43,19
147,60629,2021-03-11T00:00:00.000,947,23854,616,17636,0.160,349,6317,0.057,110029,"{'type': 'Point', 'coordinates': [-87.711565, 41.777061]}",60629-20210311,64,21867,293,6,58
148,60630,2021-03-11T00:00:00.000,582,15206,340,9913,0.176,286,5460,0.097,56433,"{'type': 'Point', 'coordinates': [-87.759611, 41.971261]}",60630-20210311,11,21869,129,50,48
149,60631,2021-03-11T00:00:00.000,306,11811,180,7505,0.254,176,4482,0.152,29529,"{'type': 'Point', 'coordinates': [-87.813371, 41.995019]}",60631-20210311,36,22243,733,29,17
150,60632,2021-03-11T00:00:00.000,817,20727,481,15108,0.168,350,5704,0.063,89857,"{'type': 'Point', 'coordinates': [-87.711251, 41.810038]}",60632-20210311,55,22248,640,8,56
151,60633,2021-03-11T00:00:00.000,62,1926,42,1267,0.1,23,667,0.053,12689,"{'type': 'Point', 'coordinates': [-87.556037, 41.653147]}",60633-20210311,52,22250,586,47,26
152,60634,2021-03-11T00:00:00.000,618,19770,359,13143,0.175,316,6873,0.092,75082,"{'type': 'Point', 'coordinates': [-87.797373, 41.944967]}",60634-20210311,17,22254,396,19,52
153,60636,2021-03-11T00:00:00.000,191,4488,146,3264,0.109,48,1244,0.041,30024,"{'type': 'Point', 'coordinates': [-87.668597, 41.77599]}",60636-20210311,65,22257,280,3,23
154,60637,2021-03-11T00:00:00.000,205,9612,152,5918,0.125,59,3719,0.079,47300,"{'type': 'Point', 'coordinates': [-87.604053, 41.780991]}",60637-20210311,9,22260,470,4,60
155,60638,2021-03-11T00:00:00.000,444,14833,225,9739,0.166,233,5155,0.088,58669,"{'type': 'Point', 'coordinates': [-87.771902, 41.787032]}",60638-20210311,53,22268,590,15,7
156,60639,2021-03-11T00:00:00.000,463,19817,301,15248,0.173,184,4681,0.053,88204,"{'type': 'Point', 'coordinates': [-87.75531, 41.920609]}",60639-20210311,19,22615,306,44,2
157,60640,2021-03-11T00:00:00.000,640,24011,402,15310,0.221,264,8827,0.127,69363,"{'type': 'Point', 'coordinates': [-87.662232, 41.971888]}",60640-20210311,31,22616,633,18,15
158,60641,2021-03-11T00:00:00.000,605,16937,359,11415,0.163,290,5662,0.081,69880,"{'type': 'Point', 'coordinates': [-87.746791, 41.946682]}",60641-20210311,15,22618,139,21,21
159,60642,2021-03-11T00:00:00.000,162,6360,118,3893,0.197,50,2509,0.127,19716,"{'type': 'Point', 'coordinates': [-87.657821, 41.899935]}",60642-20210311,25,22620,109,46,49
160,60643,2021-03-11T00:00:00.000,390,14539,231,9018,0.184,163,5582,0.114,48887,"{'type': 'Point', 'coordinates': [-87.662381, 41.700445]}",60643-20210311,71,22212,630,42,13
161,60644,2021-03-11T00:00:00.000,186,7329,125,5041,0.108,76,2404,0.052,46591,"{'type': 'Point', 'coordinates': [-87.756863, 41.881113]}",60644-20210311,26,22216,674,23,32
162,60645,2021-03-11T00:00:00.000,381,13944,205,9015,0.191,188,4995,0.106,47270,"{'type': 'Point', 'coordinates': [-87.695049, 42.008927]}",60645-20210311,20,22528,42,27,12
163,60646,2021-03-11T00:00:00.000,369,10952,177,6898,0.241,216,4174,0.146,28569,"{'type': 'Point', 'coordinates': [-87.761826, 41.993931]}",60646-20210311,12,22532,782,38,18
164,60647,2021-03-11T00:00:00.000,738,23133,460,15065,0.172,308,8224,0.094,87633,"{'type': 'Point', 'coordinates': [-87.701101, 41.921058]}",60647-20210311,23,22535,322,41,1
165,60649,2021-03-11T00:00:00.000,296,8846,225,5759,0.123,74,3117,0.067,46633,"{'type': 'Point', 'coordinates': [-87.571522, 41.762202]}",60649-20210311,39,22538,418,33,24
166,60651,2021-03-11T00:00:00.000,341,9922,209,6840,0.108,153,3197,0.050,63492,"{'type': 'Point', 'coordinates': [-87.741017, 41.901964]}",60651-20210311,24,4299,99,45,5
167,60652,2021-03-11T00:00:00.000,433,9371,290,6398,0.147,156,3023,0.07,43447,"{'type': 'Point', 'coordinates': [-87.714238, 41.745398]}",60652-20210311,69,4300,199,30,8
168,60653,2021-03-11T00:00:00.000,237,7384,122,4835,0.146,120,2583,0.078,33154,"{'type': 'Point', 'coordinates': [-87.611244, 41.819261]}",60653-20210311,4,4301,583,10,36
169,60654,2021-03-11T00:00:00.000,158,6570,118,4087,0.204,47,2518,0.126,20022,"{'type': 'Point', 'coordinates': [-87.636354, 41.892485]}",60654-20210311,37,4446,652,36,55
170,60655,2021-03-11T00:00:00.000,215,10716,113,6303,0.221,115,4458,0.156,28569,"{'type': 'Point', 'coordinates': [-87.701434, 41.696456]}",60655-20210311,73,4447,369,42,33
171,60656,2021-03-11T00:00:00.000,240,6987,134,4589,0.163,140,2547,0.090,28218,"{'type': 'Point', 'coordinates': [-87.817934, 41.974566]}",60656-20210311,36,4448,735,29,31
172,60657,2021-03-11T00:00:00.000,750,24581,488,15109,0.213,297,9589,0.135,70958,"{'type': 'Point', 'coordinates': [-87.658216, 41.939715]}",60657-20210311,57,4449,680,25,22
173,60659,2021-03-11T00:00:00.000,333,10033,152,6400,0.15,190,3684,0.086,42735,"{'type': 'Point', 'coordinates': [-87.703266, 41.990803]}",60659-20210311,20,4450,30,27,50
174,60660,2021-03-11T00:00:00.000,434,13783,263,8835,0.199,190,5016,0.113,44498,"{'type': 'Point', 'coordinates': [-87.666362, 41.991062]}",60660-20210311,76,4451,536,16,14
175,60661,2021-03-11T00:00:00.000,99,3357,68,2022,0.195,38,1347,0.130,10354,"{'type': 'Point', 'coordinates': [-87.644283, 41.882786]}",60661-20210311,29,4452,784,36,45
176,60666,2021-03-11T00:00:00.000,2,45,1,31,0.000,1,19,0.000,0,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",60666-20210311,75,16197,668,29,38
177,60707,2021-03-11T00:00:00.000,117,3646,70,2479,0.058,56,1206,0.028,43093,"{'type': 'Point', 'coordinates': [-87.808283, 41.921777]}",60707-20210311,,4454,,,
178,60827,2021-03-11T00:00:00.000,10,323,8,219,0.008,2,106,0.004,28483,"{'type': 'Point', 'coordinates': [-87.633087, 41.650765]}",60827-20210311,,4460,,,
179,Unknown,2021-03-11T00:00:00.000,59,2553,41,1594,0.000,26,983,0.000,0,,Unknown-20210311,,,,,
180,60601,2021-03-10T00:00:00.000,95,4697,60,2848,0.189,37,1862,0.123,15083,"{'type': 'Point', 'coordinates': [-87.622844, 41.886262]}",60601-20210310,38,14309,580,36,42
181,60602,2021-03-10T00:00:00.000,9,759,8,460,0.402,2,301,0.263,1145,"{'type': 'Point', 'coordinates': [-87.628309, 41.883136]}",60602-20210310,38,14310,92,36,41
182,60603,2021-03-10T00:00:00.000,21,823,8,508,0.483,13,317,0.301,1052,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",60603-20210310,38,14311,367,36,34
183,60604,2021-03-10T00:00:00.000,12,549,6,329,0.400,6,223,0.271,823,"{'type': 'Point', 'coordinates': [-87.629029, 41.878153]}",60604-20210310,38,14912,92,10,29
184,60605,2021-03-10T00:00:00.000,206,11381,140,6769,0.233,77,4661,0.160,29060,"{'type': 'Point', 'coordinates': [-87.623449, 41.867824]}",60605-20210310,38,14913,368,10,35
185,60606,2021-03-10T00:00:00.000,26,1235,13,745,0.227,14,497,0.151,3287,"{'type': 'Point', 'coordinates': [-87.63676, 41.882634]}",60606-20210310,38,14914,92,36,46
186,60607,2021-03-10T00:00:00.000,215,11073,152,6559,0.224,72,4548,0.155,29293,"{'type': 'Point', 'coordinates': [-87.652727, 41.876104]}",60607-20210310,29,14917,87,26,44
187,60608,2021-03-10T00:00:00.000,908,20205,647,13364,0.167,284,6895,0.086,80059,"{'type': 'Point', 'coordinates': [-87.670366, 41.849879]}",60608-20210310,33,14920,126,26,43
188,60609,2021-03-10T00:00:00.000,423,11009,231,7415,0.122,200,3631,0.06,60939,"{'type': 'Point', 'coordinates': [-87.653382, 41.812017]}",60609-20210310,59,14924,123,48,37
189,60610,2021-03-10T00:00:00.000,288,13747,194,8419,0.208,108,5374,0.133,40548,"{'type': 'Point', 'coordinates': [-87.63581, 41.90455]}",60610-20210310,37,14926,290,11,54
190,60611,2021-03-10T00:00:00.000,218,17826,123,10106,0.304,105,7754,0.233,33224,"{'type': 'Point', 'coordinates': [-87.620291, 41.894734]}",60611-20210310,37,21182,158,36,6
191,60612,2021-03-10T00:00:00.000,160,8972,99,5583,0.165,65,3412,0.101,33735,"{'type': 'Point', 'coordinates': [-87.687011, 41.88004]}",60612-20210310,29,21184,785,46,28
192,60613,2021-03-10T00:00:00.000,477,16469,327,10319,0.203,171,6221,0.123,50761,"{'type': 'Point', 'coordinates': [-87.661343, 41.953742]}",60613-20210310,57,21186,725,25,53
193,60614,2021-03-10T00:00:00.000,559,22736,368,13871,0.193,203,8918,0.124,71954,"{'type': 'Point', 'coordinates': [-87.652064, 41.922605]}",60614-20210310,68,21190,744,34,16
194,60615,2021-03-10T00:00:00.000,262,13094,188,7801,0.192,76,5329,0.131,40590,"{'type': 'Point', 'coordinates': [-87.602725, 41.801993]}",60615-20210310,8,21192,147,33,10
195,60616,2021-03-10T00:00:00.000,392,15507,245,9907,0.183,157,5649,0.104,54197,"{'type': 'Point', 'coordinates': [-87.629531, 41.844869]}",60616-20210310,1,21194,377,9,40
196,60617,2021-03-10T00:00:00.000,595,15400,408,10236,0.123,198,5215,0.062,83553,"{'type': 'Point', 'coordinates': [-87.556897, 41.721257]}",60617-20210310,48,21202,527,47,25
197,60618,2021-03-10T00:00:00.000,831,24374,519,15779,0.166,363,8755,0.092,94907,"{'type': 'Point', 'coordinates': [-87.703343, 41.946699]}",60618-20210310,16,21538,372,20,39
198,60619,2021-03-10T00:00:00.000,446,12029,285,7885,0.129,164,4199,0.069,61207,"{'type': 'Point', 'coordinates': [-87.60569, 41.744737]}",60619-20210310,40,21546,140,35,61
199,60620,2021-03-10T00:00:00.000,404,10856,293,7404,0.109,116,3486,0.051,67711,"{'type': 'Point', 'coordinates': [-87.651656, 41.740873]}",60620-20210310,70,21554,530,13,59
200,60621,2021-03-10T00:00:00.000,131,3758,94,2732,0.098,39,1036,0.037,28018,"{'type': 'Point', 'coordinates': [-87.638812, 41.776931]}",60621-20210310,66,21559,435,4,11
201,60622,2021-03-10T00:00:00.000,421,16947,283,10651,0.200,151,6355,0.119,53294,"{'type': 'Point', 'coordinates': [-87.681818, 41.902762]}",60622-20210310,25,21560,476,11,4
202,60623,2021-03-10T00:00:00.000,787,19209,560,14701,0.181,239,4573,0.056,81283,"{'type': 'Point', 'coordinates': [-87.717446, 41.850321]}",60623-20210310,32,21569,754,28,57
203,60624,2021-03-10T00:00:00.000,132,5026,88,3561,0.102,45,1500,0.043,34892,"{'type': 'Point', 'coordinates': [-87.722735, 41.879417]}",60624-20210310,27,21572,736,23,30
204,60625,2021-03-10T00:00:00.000,641,20347,378,13186,0.166,289,7261,0.091,79444,"{'type': 'Point', 'coordinates': [-87.701816, 41.971155]}",60625-20210310,6,21849,620,24,20
205,60626,2021-03-10T00:00:00.000,374,13302,263,8556,0.169,123,4786,0.095,50544,"{'type': 'Point', 'coordinates': [-87.669834, 42.009469]}",60626-20210310,10,21853,358,5,9
206,60628,2021-03-10T00:00:00.000,341,10537,256,7030,0.109,97,3572,0.056,64254,"{'type': 'Point', 'coordinates': [-87.621537, 41.694192]}",60628-20210310,45,21861,237,43,19
207,60629,2021-03-10T00:00:00.000,867,22907,571,17020,0.155,319,5968,0.054,110029,"{'type': 'Point', 'coordinates': [-87.711565, 41.777061]}",60629-20210310,64,21867,293,6,58
208,60630,2021-03-10T00:00:00.000,471,14624,279,9573,0.17,228,5174,0.092,56433,"{'type': 'Point', 'coordinates': [-87.759611, 41.971261]}",60630-20210310,11,21869,129,50,48
209,60631,2021-03-10T00:00:00.000,374,11505,239,7325,0.248,180,4306,0.146,29529,"{'type': 'Point', 'coordinates': [-87.813371, 41.995019]}",60631-20210310,36,22243,733,29,17
210,60632,2021-03-10T00:00:00.000,787,19910,489,14627,0.163,311,5354,0.060,89857,"{'type': 'Point', 'coordinates': [-87.711251, 41.810038]}",60632-20210310,55,22248,640,8,56
211,60633,2021-03-10T00:00:00.000,70,1864,51,1225,0.097,21,644,0.051,12689,"{'type': 'Point', 'coordinates': [-87.556037, 41.653147]}",60633-20210310,52,22250,586,47,26
212,60634,2021-03-10T00:00:00.000,618,19152,398,12784,0.17,289,6557,0.087,75082,"{'type': 'Point', 'coordinates': [-87.797373, 41.944967]}",60634-20210310,17,22254,396,19,52
213,60636,2021-03-10T00:00:00.000,217,4297,178,3118,0.104,41,1196,0.040,30024,"{'type': 'Point', 'coordinates': [-87.668597, 41.77599]}",60636-20210310,65,22257,280,3,23
214,60637,2021-03-10T00:00:00.000,214,9407,152,5766,0.122,66,3660,0.077,47300,"{'type': 'Point', 'coordinates': [-87.604053, 41.780991]}",60637-20210310,9,22260,470,4,60
215,60638,2021-03-10T00:00:00.000,442,14389,262,9514,0.162,206,4922,0.084,58669,"{'type': 'Point', 'coordinates': [-87.771902, 41.787032]}",60638-20210310,53,22268,590,15,7
216,60639,2021-03-10T00:00:00.000,395,19354,236,14947,0.169,178,4497,0.051,88204,"{'type': 'Point', 'coordinates': [-87.75531, 41.920609]}",60639-20210310,19,22615,306,44,2
217,60640,2021-03-10T00:00:00.000,514,23371,321,14908,0.215,223,8563,0.123,69363,"{'type': 'Point', 'coordinates': [-87.662232, 41.971888]}",60640-20210310,31,22616,633,18,15
218,60641,2021-03-10T00:00:00.000,530,16332,335,11056,0.158,235,5372,0.077,69880,"{'type': 'Point', 'coordinates': [-87.746791, 41.946682]}",60641-20210310,15,22618,139,21,21
219,60642,2021-03-10T00:00:00.000,111,6198,65,3775,0.191,54,2459,0.125,19716,"{'type': 'Point', 'coordinates': [-87.657821, 41.899935]}",60642-20210310,25,22620,109,46,49
220,60643,2021-03-10T00:00:00.000,402,14149,286,8787,0.18,128,5419,0.111,48887,"{'type': 'Point', 'coordinates': [-87.662381, 41.700445]}",60643-20210310,71,22212,630,42,13
221,60644,2021-03-10T00:00:00.000,181,7143,107,4916,0.106,76,2328,0.050,46591,"{'type': 'Point', 'coordinates': [-87.756863, 41.881113]}",60644-20210310,26,22216,674,23,32
222,60645,2021-03-10T00:00:00.000,342,13563,182,8810,0.186,184,4807,0.102,47270,"{'type': 'Point', 'coordinates': [-87.695049, 42.008927]}",60645-20210310,20,22528,42,27,12
223,60646,2021-03-10T00:00:00.000,369,10583,199,6721,0.235,213,3958,0.139,28569,"{'type': 'Point', 'coordinates': [-87.761826, 41.993931]}",60646-20210310,12,22532,782,38,18
224,60647,2021-03-10T00:00:00.000,762,22395,493,14605,0.167,305,7916,0.090,87633,"{'type': 'Point', 'coordinates': [-87.701101, 41.921058]}",60647-20210310,23,22535,322,41,1
225,60649,2021-03-10T00:00:00.000,293,8550,202,5534,0.119,95,3043,0.065,46633,"{'type': 'Point', 'coordinates': [-87.571522, 41.762202]}",60649-20210310,39,22538,418,33,24
226,60651,2021-03-10T00:00:00.000,310,9581,212,6631,0.104,112,3044,0.048,63492,"{'type': 'Point', 'coordinates': [-87.741017, 41.901964]}",60651-20210310,24,4299,99,45,5
227,60652,2021-03-10T00:00:00.000,324,8938,215,6108,0.141,116,2867,0.066,43447,"{'type': 'Point', 'coordinates': [-87.714238, 41.745398]}",60652-20210310,69,4300,199,30,8
228,60653,2021-03-10T00:00:00.000,148,7147,109,4713,0.142,46,2463,0.074,33154,"{'type': 'Point', 'coordinates': [-87.611244, 41.819261]}",60653-20210310,4,4301,583,10,36
229,60654,2021-03-10T00:00:00.000,231,6412,121,3969,0.198,119,2471,0.123,20022,"{'type': 'Point', 'coordinates': [-87.636354, 41.892485]}",60654-20210310,37,4446,652,36,55
230,60655,2021-03-10T00:00:00.000,240,10501,124,6190,0.217,122,4343,0.152,28569,"{'type': 'Point', 'coordinates': [-87.701434, 41.696456]}",60655-20210310,73,4447,369,42,33
231,60656,2021-03-10T00:00:00.000,262,6747,166,4455,0.158,129,2407,0.085,28218,"{'type': 'Point', 'coordinates': [-87.817934, 41.974566]}",60656-20210310,36,4448,735,29,31
232,60657,2021-03-10T00:00:00.000,573,23831,392,14621,0.206,204,9292,0.131,70958,"{'type': 'Point', 'coordinates': [-87.658216, 41.939715]}",60657-20210310,57,4449,680,25,22
233,60659,2021-03-10T00:00:00.000,308,9700,176,6248,0.146,140,3494,0.082,42735,"{'type': 'Point', 'coordinates': [-87.703266, 41.990803]}",60659-20210310,20,4450,30,27,50
234,60660,2021-03-10T00:00:00.000,408,13349,256,8572,0.193,166,4826,0.108,44498,"{'type': 'Point', 'coordinates': [-87.666362, 41.991062]}",60660-20210310,76,4451,536,16,14
235,60661,2021-03-10T00:00:00.000,79,3258,50,1954,0.189,31,1309,0.126,10354,"{'type': 'Point', 'coordinates': [-87.644283, 41.882786]}",60661-20210310,29,4452,784,36,45
236,60666,2021-03-10T00:00:00.000,1,43,1,30,0.000,1,18,0.000,0,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",60666-20210310,75,16197,668,29,38
237,60707,2021-03-10T00:00:00.000,104,3529,58,2409,0.056,50,1150,0.027,43093,"{'type': 'Point', 'coordinates': [-87.808283, 41.921777]}",60707-20210310,,4454,,,
238,60827,2021-03-10T00:00:00.000,13,313,6,211,0.007,8,104,0.004,28483,"{'type': 'Point', 'coordinates': [-87.633087, 41.650765]}",60827-20210310,,4460,,,
239,Unknown,2021-03-10T00:00:00.000,62,2494,45,1553,0.000,25,957,0.000,0,,Unknown-20210310,,,,,
240,60601,2021-03-09T00:00:00.000,122,4602,49,2788,0.185,75,1825,0.121,15083,"{'type': 'Point', 'coordinates': [-87.622844, 41.886262]}",60601-20210309,38,14309,580,36,42
241,60602,2021-03-09T00:00:00.000,10,750,4,452,0.395,7,299,0.261,1145,"{'type': 'Point', 'coordinates': [-87.628309, 41.883136]}",60602-20210309,38,14310,92,36,41
242,60603,2021-03-09T00:00:00.000,16,802,8,500,0.475,8,304,0.289,1052,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",60603-20210309,38,14311,367,36,34
243,60604,2021-03-09T00:00:00.000,12,537,6,323,0.392,8,217,0.264,823,"{'type': 'Point', 'coordinates': [-87.629029, 41.878153]}",60604-20210309,38,14912,92,10,29
244,60605,2021-03-09T00:00:00.000,189,11175,71,6629,0.228,127,4584,0.158,29060,"{'type': 'Point', 'coordinates': [-87.623449, 41.867824]}",60605-20210309,38,14913,368,10,35
245,60606,2021-03-09T00:00:00.000,23,1209,10,732,0.223,13,483,0.147,3287,"{'type': 'Point', 'coordinates': [-87.63676, 41.882634]}",60606-20210309,38,14914,92,36,46
246,60607,2021-03-09T00:00:00.000,180,10858,94,6407,0.219,90,4476,0.153,29293,"{'type': 'Point', 'coordinates': [-87.652727, 41.876104]}",60607-20210309,29,14917,87,26,44
247,60608,2021-03-09T00:00:00.000,507,19297,300,12717,0.159,212,6611,0.083,80059,"{'type': 'Point', 'coordinates': [-87.670366, 41.849879]}",60608-20210309,33,14920,126,26,43
248,60609,2021-03-09T00:00:00.000,315,10586,193,7184,0.118,129,3431,0.056,60939,"{'type': 'Point', 'coordinates': [-87.653382, 41.812017]}",60609-20210309,59,14924,123,48,37
249,60610,2021-03-09T00:00:00.000,375,13459,126,8225,0.203,253,5266,0.130,40548,"{'type': 'Point', 'coordinates': [-87.63581, 41.90455]}",60610-20210309,37,14926,290,11,54
250,60611,2021-03-09T00:00:00.000,386,17608,96,9983,0.300,292,7649,0.230,33224,"{'type': 'Point', 'coordinates': [-87.620291, 41.894734]}",60611-20210309,37,21182,158,36,6
251,60612,2021-03-09T00:00:00.000,183,8812,113,5484,0.163,70,3347,0.099,33735,"{'type': 'Point', 'coordinates': [-87.687011, 41.88004]}",60612-20210309,29,21184,785,46,28
252,60613,2021-03-09T00:00:00.000,359,15992,166,9992,0.197,204,6050,0.119,50761,"{'type': 'Point', 'coordinates': [-87.661343, 41.953742]}",60613-20210309,57,21186,725,25,53
253,60614,2021-03-09T00:00:00.000,443,22177,188,13503,0.188,270,8715,0.121,71954,"{'type': 'Point', 'coordinates': [-87.652064, 41.922605]}",60614-20210309,68,21190,744,34,16
254,60615,2021-03-09T00:00:00.000,159,12832,100,7613,0.188,64,5253,0.129,40590,"{'type': 'Point', 'coordinates': [-87.602725, 41.801993]}",60615-20210309,8,21192,147,33,10
255,60616,2021-03-09T00:00:00.000,300,15115,139,9662,0.178,166,5492,0.101,54197,"{'type': 'Point', 'coordinates': [-87.629531, 41.844869]}",60616-20210309,1,21194,377,9,40
256,60617,2021-03-09T00:00:00.000,325,14805,225,9828,0.118,106,5017,0.060,83553,"{'type': 'Point', 'coordinates': [-87.556897, 41.721257]}",60617-20210309,48,21202,527,47,25
257,60618,2021-03-09T00:00:00.000,607,23543,332,15260,0.161,299,8392,0.088,94907,"{'type': 'Point', 'coordinates': [-87.703343, 41.946699]}",60618-20210309,16,21538,372,20,39
258,60619,2021-03-09T00:00:00.000,262,11583,159,7600,0.124,107,4035,0.066,61207,"{'type': 'Point', 'coordinates': [-87.60569, 41.744737]}",60619-20210309,40,21546,140,35,61
259,60620,2021-03-09T00:00:00.000,260,10452,162,7111,0.105,103,3370,0.050,67711,"{'type': 'Point', 'coordinates': [-87.651656, 41.740873]}",60620-20210309,70,21554,530,13,59
260,60621,2021-03-09T00:00:00.000,110,3627,92,2638,0.094,18,997,0.036,28018,"{'type': 'Point', 'coordinates': [-87.638812, 41.776931]}",60621-20210309,66,21559,435,4,11
261,60622,2021-03-09T00:00:00.000,273,16526,174,10368,0.195,108,6204,0.116,53294,"{'type': 'Point', 'coordinates': [-87.681818, 41.902762]}",60622-20210309,25,21560,476,11,4
262,60623,2021-03-09T00:00:00.000,807,18422,598,14141,0.174,219,4334,0.053,81283,"{'type': 'Point', 'coordinates': [-87.717446, 41.850321]}",60623-20210309,32,21569,754,28,57
263,60624,2021-03-09T00:00:00.000,169,4894,117,3473,0.1,56,1455,0.042,34892,"{'type': 'Point', 'coordinates': [-87.722735, 41.879417]}",60624-20210309,27,21572,736,23,30
264,60625,2021-03-09T00:00:00.000,517,19706,301,12808,0.161,228,6972,0.088,79444,"{'type': 'Point', 'coordinates': [-87.701816, 41.971155]}",60625-20210309,6,21849,620,24,20
265,60626,2021-03-09T00:00:00.000,316,12928,152,8293,0.164,169,4663,0.092,50544,"{'type': 'Point', 'coordinates': [-87.669834, 42.009469]}",60626-20210309,10,21853,358,5,9
266,60628,2021-03-09T00:00:00.000,224,10196,138,6774,0.105,89,3475,0.054,64254,"{'type': 'Point', 'coordinates': [-87.621537, 41.694192]}",60628-20210309,45,21861,237,43,19
267,60629,2021-03-09T00:00:00.000,868,22040,556,16449,0.149,330,5649,0.051,110029,"{'type': 'Point', 'coordinates': [-87.711565, 41.777061]}",60629-20210309,64,21867,293,6,58
268,60630,2021-03-09T00:00:00.000,384,14153,226,9294,0.165,184,4946,0.088,56433,"{'type': 'Point', 'coordinates': [-87.759611, 41.971261]}",60630-20210309,11,21869,129,50,48
269,60631,2021-03-09T00:00:00.000,257,11131,110,7086,0.240,164,4126,0.140,29529,"{'type': 'Point', 'coordinates': [-87.813371, 41.995019]}",60631-20210309,36,22243,733,29,17
270,60632,2021-03-09T00:00:00.000,710,19123,426,14138,0.157,298,5043,0.056,89857,"{'type': 'Point', 'coordinates': [-87.711251, 41.810038]}",60632-20210309,55,22248,640,8,56
271,60633,2021-03-09T00:00:00.000,47,1794,21,1174,0.093,26,623,0.049,12689,"{'type': 'Point', 'coordinates': [-87.556037, 41.653147]}",60633-20210309,52,22250,586,47,26
272,60634,2021-03-09T00:00:00.000,479,18534,232,12386,0.165,272,6268,0.083,75082,"{'type': 'Point', 'coordinates': [-87.797373, 41.944967]}",60634-20210309,17,22254,396,19,52
273,60636,2021-03-09T00:00:00.000,147,4080,114,2940,0.098,38,1155,0.038,30024,"{'type': 'Point', 'coordinates': [-87.668597, 41.77599]}",60636-20210309,65,22257,280,3,23
274,60637,2021-03-09T00:00:00.000,133,9193,97,5614,0.119,38,3594,0.076,47300,"{'type': 'Point', 'coordinates': [-87.604053, 41.780991]}",60637-20210309,9,22260,470,4,60
275,60638,2021-03-09T00:00:00.000,363,13947,169,9252,0.158,201,4716,0.080,58669,"{'type': 'Point', 'coordinates': [-87.771902, 41.787032]}",60638-20210309,53,22268,590,15,7
